Close,open,high,low,hand,volume,F,SKDJ(D),KDJ(D),KDJ(K),SKDJ(RSV),SKDJ(K),MA5,MA13,MA21,MA34,MA55,MA89,MA144,MA233,VOL5,VOL40,VOL89,vol5_40_bias,vol5_89_bias,price_5_bias,price_13_bias,price_34_bias,MA5_13_bias,MA34_144_bias
537.87,550.26,550.26,537.38,48247800,223117000,-3.137099534,5.73,1.478670708,0.936012123,2.803484346,4.383742173,558.52,582.1676923,599.9942857,623.5020588,659.9316364,686.9411236,687.8166667,662.3452361,69445240,107154232.5,216223033.7,-35.1913234,-67.88258919,-3.69727136,-7.609094921,-13.73404588,-4.062006982,-9.350545132
542.42,535.23,542.74,530.79,55619200,252574000,0.845929314,5.690394211,1.687468829,2.10506507,9.063138747,6.72344046,552.56,576.6038462,595.5895238,619.0967647,657.0229091,684.8826966,686.73125,662.3825751,69590040,103458467.5,215186340.4,-32.73625477,-67.66056811,-1.835094831,-5.928480426,-12.38526335,-4.169907349,-9.848756015
558.76,541.94,558.94,539.76,110591300,451488000,3.012425796,8.960169597,2.780079108,4.965299668,24.82321186,15.77332616,550.232,573.1323077,591.8533333,615.4591176,654.1489091,683.0476404,685.7577083,662.4953219,75525840,99839812.5,213543276.4,-24.35298293,-64.63206837,1.549891682,-2.50767711,-9.212491297,-3.99564069,-10.25122865
536.37,559.03,561.36,536.12,138637100,597185000,-4.007087121,12.97179858,3.193653238,4.020801498,17.06393209,16.41862913,546.142,568.8423077,587.4695238,611.3467647,651.1230909,681.0323596,684.69625,662.5065665,87065820,98177905,213085471.9,-11.31831546,-59.14042416,-1.789278246,-5.708490253,-12.26419588,-3.990615217,-10.7127044
539.17,533.33,540.04,527.91,69620700,287150000,0.522027705,16.67740778,3.495391108,4.098866846,19.26190696,17.84026804,542.918,564.7738462,583.0566667,607.3594118,647.7209091,678.9570787,683.9484722,662.4457082,84543220,96596832.5,211752736,-12.47826889,-60.07455601,-0.690343661,-4.533468808,-11.22719274,-3.869840345,-11.19807465
558.62,541.35,559.64,540.99,189474200,803437000,3.607396554,21.56641706,4.530551403,6.600871994,43.04043999,30.44035402,547.068,561.5107692,579.3347619,603.8358824,644.7305455,677.0444944,683.3379167,662.5196996,112788500,97129485,211593420.2,16.1217935,-46.69564872,2.111620493,-0.514819909,-7.488107891,-2.572126845,-11.63436601
547.62,552.3,552.31,540.59,153153500,652606000,-1.969138234,28.73256078,5.314798615,6.88329304,45.39376651,37.91706026,548.108,557.6792308,575.9233333,600.4329412,641.5314545,674.9066292,682.7036111,662.5144635,132295360,97732620,210094152.8,35.36458963,-37.03044172,-0.089033548,-1.803766433,-8.795810082,-1.716260933,-12.05071551
545.64,547.46,552.56,543.12,115774400,496816000,-0.361564589,37.27240168,5.81725538,6.822168908,49.00252124,43.45979075,545.484,553.9407692,571.932381,597.1173529,637.6265455,672.7280899,682.04375,662.5038627,133331980,96363295,208362827,38.36386562,-36.00970867,0.028598456,-1.498494007,-8.620977549,-1.526655863,-12.45175211
547.11,545.23,549.76,541.67,96742900,421600000,0.269408401,43.23571749,6.200364812,6.966583678,53.20081219,48.33030147,547.632,551.4084615,568.7566667,593.8155882,634.2745455,670.4062921,681.3166667,662.5221888,124953140,92136102.5,205160497.8,35.61800056,-39.09493232,-0.095319485,-0.779542179,-7.865335495,-0.684875515,-12.8429382
551.04,545.05,551.91,543.83,91936100,423649000,0.718319899,48.84748051,6.652873538,7.557890989,61.17439713,54.7523493,550.006,549.7792308,565.7228571,591.0511765,631.1594545,668.1276404,680.6678472,662.5765665,129416220,91351200,199238229.2,41.66887791,-35.04448393,0.187997949,0.229322819,-6.76949443,0.041247326,-13.16599148
